task,parcellation,seed,estimator,variant,input_set,target,is_leak_target,contains_subject_info,is_connectome_only,pearson,spearman,r2,n_eval,lift_over_bvdemo,lift_perm_p,residualized_pearson,config_hash,git_commit,balanced_acc
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,pred_SC+bv,CogTotal,False,True,False,0.4174158824467837,0.4014281958078569,0.1658742459986687,192.0,0.0169868932962892,0.4002998500749625,0.1672533328813994,27143250,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_SC+pred_FC,CogTotal,False,False,True,0.3163639880365932,0.3088922639133955,0.0894134829123182,192.0,-0.0840650011139013,0.9770114942528736,0.0269619326053054,2af93cff,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC,CogTotal,False,False,True,0.4705891958854595,0.4422800260057196,0.2096142520409162,192.0,0.070160206734965,0.1399300349825087,0.2479072746900817,062eb7cb,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC+bv,CogTotal,False,True,False,0.4802053986615231,0.4388040681795619,0.2211811664786591,192.0,0.0797764095110286,0.0789605197401299,0.2462913143782728,303c360b,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC+bv+demo,CogTotal,False,True,False,0.4943874965320247,0.4490979901125393,0.2360200901174347,192.0,0.0939585073815302,0.0349825087456271,0.2458436826647744,8001c1b5,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_SC+pred_FC+bv+demo,CogTotal,False,True,False,0.3781773268462149,0.3661107687049107,0.131523790721275,192.0,-0.0222516623042795,0.841079460269865,0.030395063053581,f69005c3,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,everything,CogTotal,False,True,False,0.4963356636280009,0.4675688908829048,0.2321761252765549,192.0,0.0959066744775064,0.0214892553723138,0.2450512482905134,db421dbd,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,bv+demo,CogFluid,False,True,False,0.3271027044388927,0.3227098016813527,0.1018196031068807,192.0,0.0,1.0,-0.0415115992504461,06553749,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_FC,CogFluid,False,False,True,0.3458277747304596,0.2984323685548883,0.1112854665259834,192.0,0.0187250702915669,0.3958020989505247,0.2269813486212148,351b2318,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_SC,CogFluid,False,False,True,0.2431036392119377,0.2430913841310905,0.0373147740988698,192.0,-0.083999065226955,0.9895052473763118,0.0538662372488212,a3f26e40,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_FC+obs_SC,CogFluid,False,False,True,0.3741449148593403,0.3296027344542866,0.1244087000079665,192.0,0.0470422104204476,0.2623688155922039,0.2381612123814832,82ac3036,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,pred_SC,CogFluid,False,False,True,0.3225193347908456,0.3053100420989558,0.0716714579262954,192.0,-0.0045833696480471,0.856071964017991,0.0045006696310643,8ade18d3,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,pred_FC,CogFluid,False,False,True,0.3289865671142175,0.302699018492925,0.0733528300030127,192.0,0.0018838626753247,0.8630684657671165,0.0746408911822443,16d51bf6,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_FC+bv+demo,CogFluid,False,True,False,0.3977232583078925,0.3510911196379454,0.1442890166304584,192.0,0.0706205538689998,0.1269365317341329,0.2452860559525274,2c94286f,f8d84d1,
