rep,estimator,direction,seed,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
SC,KR,FC->SC,7,0.0053826309740543365,0.004350909031927586,0.9145355820655823,0.9048257725180802,0.13333333333333333,0.1301809400320053
SC,KR,SC->FC,7,0.01414203830063343,-0.02215977944433689,0.8259011507034302,0.7332807363576594,0.05128205128205128,0.08927314728498459
r2t,linear_PLS,FC->r2t,7,543667.875,0.6005682349205017,0.8411315083503723,0.7152136752136753,0.041025641025641026,0.1124604269862175
r2t,linear_PLS,r2t->FC,7,0.01547361072152853,-0.11594979465007782,0.8099477291107178,0.6378698224852071,0.02564102564102564,0.060110386461019516
r2t,KR,FC->r2t,7,525685.375,0.7333720326423645,0.8474056124687195,0.7443786982248521,0.07692307692307693,0.11384711414575577
r2t,KR,r2t->FC,7,0.014402981847524643,-0.04003024473786354,0.8223829865455627,0.6568310322156476,0.035897435897435895,0.06097129359841347
r2t_corr,linear_PLS,FC->r2t_corr,7,0.017490416765213013,-314.20062255859375,0.8053026795387268,0.7109007232084155,0.06153846153846154,0.05942189320921898
r2t_corr,linear_PLS,r2t_corr->FC,7,0.015149880200624466,-0.09096664935350418,0.8142310380935669,0.6097304404996713,0.02564102564102564,0.037007737904787064
r2t_corr,KR,FC->r2t_corr,7,0.016888799145817757,-180.02838134765625,0.8123696446418762,0.7575016436554898,0.06153846153846154,0.06363724917173386
r2t_corr,KR,r2t_corr->FC,7,0.014436042867600918,-0.04078180342912674,0.8224985599517822,0.6329257067718607,0.03076923076923077,0.04013703018426895
SC,linear_PLS,FC->SC,8,0.005580130033195019,-0.020934268832206726,0.9116998314857483,0.8811308349769889,0.11794871794871795,0.13998465240001678
SC,linear_PLS,SC->FC,8,0.014496534131467342,-0.05510609224438667,0.8307790756225586,0.7249178172255095,0.041025641025641026,0.08476299047470093
SC,KR,FC->SC,8,0.005437442101538181,0.0035347656812518835,0.9141673445701599,0.925733070348455,0.1794871794871795,0.13768741488456726
SC,KR,SC->FC,8,0.014010487124323845,-0.01993914321064949,0.8368697762489319,0.7282840236686391,0.02564102564102564,0.0794118270277977
r2t,linear_PLS,FC->r2t,8,529705.625,-0.47174930572509766,0.8449841737747192,0.7336226166995399,0.03076923076923077,0.11484899371862411
r2t,linear_PLS,r2t->FC,8,0.01541051547974348,-0.11934775859117508,0.8186554908752441,0.6068902038132807,0.020512820512820513,0.04750069975852966
r2t,KR,FC->r2t,8,507573.875,0.37277641892433167,0.8517651557922363,0.7603681788297173,0.05641025641025641,0.11542579531669617
r2t,KR,r2t->FC,8,0.014263786375522614,-0.03686528652906418,0.8331621289253235,0.6438921761998685,0.015384615384615385,0.0567145012319088
r2t_corr,linear_PLS,FC->r2t_corr,8,0.017388757318258286,-4.291780471801758,0.8067263960838318,0.7056410256410257,0.03076923076923077,0.060530129820108414
r2t_corr,linear_PLS,r2t_corr->FC,8,0.01506113726645708,-0.09268967062234879,0.8240036368370056,0.596344510190664,0.010256410256410256,0.03215071186423302
r2t_corr,KR,FC->r2t_corr,8,0.016769468784332275,-2.078982353210449,0.813955545425415,0.7333333333333334,0.041025641025641026,0.05972544476389885
r2t_corr,KR,r2t_corr->FC,8,0.01428136881440878,-0.0380304753780365,0.8337430357933044,0.624431295200526,0.020512820512820513,0.03708406165242195
SC,linear_PLS,FC->SC,9,0.005457290448248386,-0.02316061407327652,0.9130374193191528,0.8762494793835902,0.1326530612244898,0.13466398417949677
SC,linear_PLS,SC->FC,9,0.014365369454026222,-0.05920897051692009,0.826097846031189,0.6929404414827156,0.04081632653061224,0.07565724104642868
SC,KR,FC->SC,9,0.005322662182152271,0.0012748503359034657,0.9153492450714111,0.9123542274052479,0.14795918367346939,0.13219429552555084
SC,KR,SC->FC,9,0.01378732081502676,-0.018215831369161606,0.8334869146347046,0.7324552269887548,0.07142857142857142,0.08291465044021606
r2t,linear_PLS,FC->r2t,9,544080.0625,0.6109567880630493,0.8462012410163879,0.7272750937109538,0.05612244897959184,0.1179245263338089
r2t,linear_PLS,r2t->FC,9,0.015395911410450935,-0.1315171867609024,0.8133884072303772,0.6139629321116201,0.03571428571428571,0.0449659489095211
r2t,KR,FC->r2t,9,527164.0,0.7395969033241272,0.8522441387176514,0.7687682215743441,0.08673469387755102,0.12127447128295898
r2t,KR,r2t->FC,9,0.014144171960651875,-0.04205206409096718,0.8289291262626648,0.6396813827571846,0.04081632653061224,0.04503140226006508
r2t_corr,linear_PLS,FC->r2t_corr,9,0.01739583909511566,-9.65953540802002,0.8072338700294495,0.7069189920866306,0.01020408163265306,0.05513935536146164
r2t_corr,linear_PLS,r2t_corr->FC,9,0.01483824010938406,-0.090846486389637,0.8205438852310181,0.5860318617242816,0.025510204081632654,0.030691655352711678
r2t_corr,KR,FC->r2t_corr,9,0.016809290274977684,-5.47181510925293,0.8141328692436218,0.7482038733860892,0.04591836734693878,0.061788491904735565
r2t_corr,KR,r2t_corr->FC,9,0.014082060195505619,-0.03768780827522278,0.8300214409828186,0.6126353602665555,0.030612244897959183,0.03477058932185173
