rep,target,variant,seed,pearson,spearman,r2
r2t,CogCrystalComp_Unadj,template,5,0.07539925951520222,0.0848771700984454,-0.037917621896661924
r2t,CogCrystalComp_Unadj,final,5,0.07523159894751792,0.08209510800615305,-0.1449385107598642
r2t_corr,CogCrystalComp_Unadj,template,5,-0.01748121907542145,-0.014965519585472733,-0.01878056300566433
r2t_corr,CogCrystalComp_Unadj,final,5,-0.016252917774147398,-0.012668983163737489,-0.10232773114523797
SC_r2t,CogCrystalComp_Unadj,template,5,0.07539466763975293,0.0848771700984454,-0.037920482675545264
SC_r2t,CogCrystalComp_Unadj,final,5,0.07522731886413761,0.08209510800615305,-0.1449452395792472
FC,CogCrystalComp_Unadj,template,5,0.41970835519207694,0.386556117870768,0.1606674871446706
FC,CogCrystalComp_Unadj,final,5,0.41419401539383743,0.38152445350489417,0.156591752692672
bv+demo,CogTotalComp_Unadj,template,6,0.28736099272219634,0.3069522518749617,0.0611255184247238
bv+demo,CogTotalComp_Unadj,final,6,0.28713967948404306,0.26022885329205764,0.05719596225405177
SC,CogTotalComp_Unadj,template,6,0.0844191753155271,0.08021596640601786,-0.02113319646698475
SC,CogTotalComp_Unadj,final,6,0.07783718296296997,0.07439020596869503,-0.14328913886995243
r2t,CogTotalComp_Unadj,template,6,0.0937116827402989,0.09129246561736103,-0.032102750196229435
r2t,CogTotalComp_Unadj,final,6,0.09345195534085926,0.08693492123533299,-0.19061140452388736
r2t_corr,CogTotalComp_Unadj,template,6,-0.045058867238439895,-0.06389050592193195,-0.05627803945804066
r2t_corr,CogTotalComp_Unadj,final,6,-0.042779695240821085,-0.06335370053609779,-0.24046323493494692
SC_r2t,CogTotalComp_Unadj,template,6,0.09371412277603385,0.09129246561736103,-0.03210136508981898
SC_r2t,CogTotalComp_Unadj,final,6,0.09345415019918361,0.08693492123533299,-0.19060899051132973
FC,CogTotalComp_Unadj,template,6,0.3450953711198032,0.27717288422074715,0.1105106880441874
FC,CogTotalComp_Unadj,final,6,0.34404298365578456,0.27937076455049537,0.04513244190667509
bv+demo,CogFluidComp_Unadj,template,6,0.13311445526601876,0.12149022551427968,-0.017724503440161854
bv+demo,CogFluidComp_Unadj,final,6,0.16345619082015506,0.13471795396855588,-0.013714133195688927
SC,CogFluidComp_Unadj,template,6,-0.017856196713518072,-0.011203459977112307,-0.034582602343562474
SC,CogFluidComp_Unadj,final,6,-0.02664768998916159,-0.01776527408567164,-0.1868085707827296
r2t,CogFluidComp_Unadj,template,6,0.037006725836127165,0.0444857929426167,-0.03448649505139678
r2t,CogFluidComp_Unadj,final,6,0.0380365049621003,0.050369643321788816,-0.18771909783267882
r2t_corr,CogFluidComp_Unadj,template,6,-0.0371156413381865,-0.05367898111310731,-0.03456567410972844
r2t_corr,CogFluidComp_Unadj,final,6,-0.032917425832649914,-0.04886412644659476,-0.1858218072186677
SC_r2t,CogFluidComp_Unadj,template,6,0.03700955243228109,0.0444857929426167,-0.0344871491600478
SC_r2t,CogFluidComp_Unadj,final,6,0.038039111508266964,0.050369643321788816,-0.18772154770692362
FC,CogFluidComp_Unadj,template,6,0.12951202470388376,0.10920202357014784,0.00016925621638363975
FC,CogFluidComp_Unadj,final,6,0.12532979871163918,0.10512374369091793,-0.0894402053354102
bv+demo,CogCrystalComp_Unadj,template,6,0.342250972574646,0.34980822302651776,0.10988129386278067
bv+demo,CogCrystalComp_Unadj,final,6,0.3195222284359869,0.285689485302139,0.09098058471214931
SC,CogCrystalComp_Unadj,template,6,0.20390179323145902,0.19081131407354596,0.035157225740454656
SC,CogCrystalComp_Unadj,final,6,0.20000191453328248,0.18942749845651694,0.007551715234909717
r2t,CogCrystalComp_Unadj,template,6,0.08936160335427402,0.08441108337988323,-0.011134526205945905
r2t,CogCrystalComp_Unadj,final,6,0.0939662915142261,0.09236677123363507,-0.11156137268485589
r2t_corr,CogCrystalComp_Unadj,template,6,-0.015641676409843586,-0.03712682152732307,-0.031193007519625393
r2t_corr,CogCrystalComp_Unadj,final,6,-0.01232667120495398,-0.041532830358623526,-0.15203702483567927
SC_r2t,CogCrystalComp_Unadj,template,6,0.08936438871881702,0.08441108337988323,-0.011133167984343828
SC_r2t,CogCrystalComp_Unadj,final,6,0.09396880783394396,0.09241517974134779,-0.11155852398595645
FC,CogCrystalComp_Unadj,template,6,0.539788173298986,0.47584144211546003,0.27552278421378074
FC,CogCrystalComp_Unadj,final,6,0.5415645758148712,0.47793636201819995,0.28378114309967906
bv+demo,CogTotalComp_Unadj,template,7,0.2216328858520061,0.21072259464549947,-0.021163886115323605
bv+demo,CogTotalComp_Unadj,final,7,0.20722471013468735,0.20087093655359392,-0.04728424814289811
SC,CogTotalComp_Unadj,template,7,0.12109077841348667,0.09709241312849265,-0.03765923398143434
SC,CogTotalComp_Unadj,final,7,0.1218601362610311,0.0958720500765674,-0.10850380853935593
r2t,CogTotalComp_Unadj,template,7,0.16136262769122428,0.14805510289421114,-0.020880199552342438
r2t,CogTotalComp_Unadj,final,7,0.169986537462646,0.1558243367614847,-0.10169963121673997
r2t_corr,CogTotalComp_Unadj,template,7,0.15853025698935969,0.15577420737012618,-0.025337412271249526
r2t_corr,CogTotalComp_Unadj,final,7,0.15224932374626246,0.15335402609879967,-0.05757337579407107
SC_r2t,CogTotalComp_Unadj,template,7,0.1613642191813695,0.14805510289421114,-0.02087917467624112
SC_r2t,CogTotalComp_Unadj,final,7,0.1699881239337864,0.1558243367614847,-0.1016974924564138
FC,CogTotalComp_Unadj,template,7,0.3336145942931749,0.3192806679089827,0.09878867679835301
FC,CogTotalComp_Unadj,final,7,0.3376982168761818,0.32250127585544397,0.09152836122165742
bv+demo,CogFluidComp_Unadj,template,7,0.17593624644894704,0.1505225329770529,-0.00231087137355912
bv+demo,CogFluidComp_Unadj,final,7,0.15835149331835505,0.14640045165467747,-0.029188817518924104
SC,CogFluidComp_Unadj,template,7,0.056025742413394364,0.06769548863875582,-0.019920597337613533
SC,CogFluidComp_Unadj,final,7,0.05724773109729658,0.06996526308301439,-0.06286746168367752
r2t,CogFluidComp_Unadj,template,7,0.09918287822843852,0.08494807541745399,-0.016787587423832573
r2t,CogFluidComp_Unadj,final,7,0.09607300410399391,0.08637880579669155,-0.11316899906722955
r2t_corr,CogFluidComp_Unadj,template,7,0.19563864969379005,0.17645901070902392,-0.00939109739728261
r2t_corr,CogFluidComp_Unadj,final,7,0.19327307159781537,0.17232781722902857,0.013286420893115602
SC_r2t,CogFluidComp_Unadj,template,7,0.09918456356182952,0.08494807541745399,-0.01678679216925283
SC_r2t,CogFluidComp_Unadj,final,7,0.0960748171082106,0.08637880579669155,-0.11316700895212706
FC,CogFluidComp_Unadj,template,7,0.24061942778929285,0.21762222636885456,0.048840075750398615
FC,CogFluidComp_Unadj,final,7,0.23976985763492098,0.2167141522338416,0.04086758382333855
bv+demo,CogCrystalComp_Unadj,template,7,0.295994237846337,0.2863591538902927,0.048989587929681555
bv+demo,CogCrystalComp_Unadj,final,7,0.3171880731806394,0.302167874696435,0.05949682048665572
SC,CogCrystalComp_Unadj,template,7,0.1547970154679333,0.11979849777396792,-0.02520099355945038
