parcellation,seed,pc,explained_var_ratio,FC_to_PC_R2,AUC_MZ,AUC_DZ,AUC_sibling,confound_R2_test
Glasser,8,7,0.010122345760464668,0.08890873193740845,0.657201646090535,0.6018518518518519,0.5441358024691358,0.058027803897857666
Glasser,8,8,0.009663581848144531,0.07953530550003052,0.5790123456790124,0.4897119341563786,0.552417695473251,0.0683026909828186
Glasser,8,9,0.009383180178701878,-0.0005358457565307617,0.6549382716049382,0.6311728395061729,0.5461419753086421,0.015897274017333984
Glasser,8,10,0.00891620572656393,0.010590672492980957,0.6685185185185185,0.45267489711934156,0.6135802469135803,-0.03771317005157471
Glasser,9,1,0.03785504028201103,0.5144799947738647,0.8062638580931264,0.5970919324577861,0.4446492720741161,0.8950926661491394
Glasser,9,2,0.01616872102022171,-0.016628623008728027,0.6277716186252772,0.5450281425891182,0.4993855171109851,0.06039828062057495
Glasser,9,3,0.015375949442386627,0.2968806028366089,0.7048226164079823,0.5966228893058162,0.6247400264700321,0.014268577098846436
Glasser,9,4,0.013474693521857262,0.08269655704498291,0.6172394678492239,0.6045966228893058,0.612733976176971,0.01837092638015747
Glasser,9,5,0.01128300093114376,0.14241278171539307,0.6150221729490022,0.45121951219512196,0.5633862733976177,-0.022301316261291504
Glasser,9,6,0.010659594088792801,0.0931820273399353,0.6832039911308204,0.7054409005628518,0.538097939118926,0.13210386037826538
Glasser,9,7,0.010494405403733253,0.13188642263412476,0.6873614190687362,0.6819887429643527,0.45958593306863305,0.21515315771102905
Glasser,9,8,0.009260437451303005,0.03233259916305542,0.6294345898004435,0.6153846153846154,0.557288712422008,0.11931711435317993
Glasser,9,9,0.00877146702259779,-0.05880308151245117,0.5728935698447893,0.5900562851782365,0.5407922102476839,-0.03263962268829346
Glasser,9,10,0.008235249668359756,0.0011747479438781738,0.6371951219512195,0.599437148217636,0.6523444885611648,-0.026265740394592285
4S456Parcels,0,1,0.03794481232762337,0.6048736572265625,0.8442317916002127,0.5200179937022043,0.4965146198830409,0.9352792501449585
