seed,K,net_pair,n_obs,n_exp,enrichment
6,100,frontoparietal || somatosensory,1,3.8997214484679668,0.2564285714285714
6,100,default mode || visual,1,6.935933147632312,0.14417670682730924
6,100,frontoparietal || ventral attention,1,3.203342618384401,0.31217391304347825
6,100,default mode || somatosensory,1,7.192819560507583,0.13902753872633392
6,100,frontoparietal || visual,1,3.7604456824512535,0.2659259259259259
6,100,ventral attention || ventral attention,1,1.6016713091922006,0.6243478260869565
6,100,somatosensory || somatosensory,1,2.3831631073970905,0.41961038961038966
6,200,visual || visual,54,4.428969359331476,12.19245283018868
6,200,dorsal attention || visual,39,8.022284122562674,4.861458333333333
6,200,default mode || dorsal attention,18,12.330547818012999,1.459789156626506
6,200,dorsal attention || dorsal attention,16,3.491179201485608,4.582978723404255
6,200,default mode || frontoparietal,9,11.559888579387186,0.77855421686747
6,200,somatosensory || ventral attention,8,7.972763850201176,1.003416149068323
6,200,default mode || somatosensory,8,14.385639121015165,0.5561101549053357
6,200,frontoparietal || frontoparietal,8,3.064066852367688,2.610909090909091
6,200,dorsal attention || frontoparietal,7,6.685236768802229,1.0470833333333334
6,200,default mode || visual,6,13.871866295264624,0.4325301204819277
6,200,default mode || default mode,5,10.532342927886104,0.4747281810167499
6,200,ventral attention || ventral attention,5,3.203342618384401,1.5608695652173912
6,200,default mode || ventral attention,4,11.816774992262458,0.33850183342063905
6,200,dorsal attention || ventral attention,4,6.833797585886723,0.5853260869565217
6,200,frontoparietal || somatosensory,2,7.7994428969359335,0.2564285714285714
6,200,frontoparietal || visual,2,7.520891364902507,0.2659259259259259
6,200,somatosensory || somatosensory,2,4.766326214794181,0.41961038961038966
6,200,dorsal attention || somatosensory,2,8.319405756731662,0.24040178571428572
6,200,frontoparietal || ventral attention,1,6.406685236768802,0.15608695652173912
6,500,visual || visual,100,11.07242339832869,9.031446540880504
6,500,dorsal attention || visual,74,20.055710306406684,3.6897222222222226
6,500,dorsal attention || dorsal attention,44,8.72794800371402,5.041276595744681
6,500,somatosensory || ventral attention,35,19.93190962550294,1.7559782608695653
