subject,rel_between_session,rel_within_session_run1
195041,0.71389484,0.5202972
195445,0.7097399,0.57390416
195647,0.5410278,0.39423513
195849,0.35119718,0.29147643
195950,0.5265328,0.50406575
196144,0.4912411,0.2535595
196346,0.56788224,0.38017255
196750,0.46711767,0.14738066
196952,0.68768054,0.36189416
197348,0.4124268,0.3019508
197550,0.66587514,0.44695243
198047,0.4763626,0.34386644
198249,0.32245567,0.13742635
198350,0.4847028,0.23231748
198451,0.41783905,0.28844824
198653,0.34595504,0.49906224
198855,0.4160143,0.25262782
199150,0.3933505,0.3323052
199251,0.4785289,0.30821106
199352,0.4805942,0.18420583
199453,0.40173686,0.4693627
199655,0.37479514,0.26182944
199958,0.4516303,0.34710044
200008,0.54167473,0.38506824
200109,0.6787726,0.53005195
200311,0.6275496,0.40390477
200513,0.62049186,0.5030227
200614,0.54582703,0.23906654
200917,0.52310294,0.32847193
201111,0.5867144,0.24421959
201414,0.64806545,0.38633114
201515,0.34385708,0.24877663
201818,0.6430385,0.46907398
202113,0.40797314,0.21142565
202719,0.7427649,0.64114183
202820,0.43421042,0.23105003
203418,0.6260262,0.42748117
203923,0.35208008,0.13965516
204016,0.61185074,0.4241858
204218,0.75011015,0.49988154
204319,0.398426,0.44768512
204420,0.27148682,0.008993947
204521,0.6642659,0.36318526
204622,0.46720988,0.52381814
205119,0.3886891,0.27543926
205220,0.41296163,0.5837275
205725,0.4389778,0.33557668
205826,0.47774792,0.22827446
206222,0.64879745,0.4567932
206323,0.48608798,0.44041324
206525,0.64766437,0.4442988
206727,0.5534892,0.3849706
206828,0.599884,0.38383284
206929,0.4105867,0.09395374
207123,0.23285021,0.16254912
207426,0.26811016,0.13597603
208024,0.5695173,0.37823933
208125,0.60404634,0.43592903
208226,0.46037263,0.35008714
208327,0.62676173,0.45871097
208630,0.55020213,0.26101053
209127,0.58153814,0.3317743
209228,0.47520563,0.3362059
209329,0.63872606,0.47545776
209834,0.4884511,0.2789184
209935,0.53057563,0.44339612
210011,0.48769972,0.52512693
210112,0.4476909,0.4270295
210415,0.45941722,0.28277594
210617,0.57432336,0.5676159
211114,0.6275705,0.31644362
211215,0.5756271,0.34397417
211316,0.44771847,0.20869035
211417,0.54990095,0.38111895
211619,0.48817113,0.29282162
211720,0.52462745,0.23989244
211821,0.5557748,0.3943943
211922,0.47244424,0.33596832
212015,0.40988886,0.27440158
212116,0.42030522,0.3192254
212217,0.59987104,0.42839023
212318,0.54445106,0.40730882
212419,0.31882104,0.42764
212823,0.5277014,0.4372475
213017,0.42948076,0.24042855
213421,0.4671098,0.31121284
213522,0.5588487,0.41904685
214019,0.47483468,0.24214609
214221,0.44559023,0.51950073
214423,0.21015824,0.3494088
214524,0.5407969,0.3975846
214625,0.5743202,0.4929467
214726,0.46564475,0.20070474
217126,0.6237086,0.2777478
217429,0.45473433,0.30557996
219231,0.6775834,0.5169566
220721,0.43343216,0.2861064
221319,0.49569038,0.35928532
223929,0.46307358,0.28922665
224022,0.2777475,0.048382923
227432,0.47566885,0.33736426
227533,0.40041807,0.4421438
228434,0.42418635,0.35146454
231928,0.54151624,0.44038883
233326,0.3794993,0.5313134
236130,0.62210923,0.4653233
237334,0.63070446,0.44837582
238033,0.55137724,0.64510477
239136,0.5412841,0.34476212
239944,0.5730733,0.45689043
245333,0.47341442,0.28567523
246133,0.4706238,0.35372066
248339,0.28342104,0.3135191
249947,0.64838505,0.5082771
250427,0.19698223,0.37765175
250932,0.538136,0.2785767
251833,0.48369825,0.37160304
255639,0.49833786,0.29074863
255740,0.59749883,0.53346425
256540,0.5676056,0.2306866
257542,0.46908367,0.3469347
257845,0.5121079,0.32043388
257946,0.4635025,0.41951028
263436,0.5004728,0.3800868
268749,0.48623255,0.428943
268850,0.5518486,0.33415493
270332,0.6065281,0.4449199
274542,0.55175114,0.37965164
275645,0.5739743,0.48303515
280739,0.42996225,0.2513369
280941,0.65487033,0.4132634
281135,0.70744306,0.5489372
283543,0.5179779,0.25706348
284646,0.14611675,0.19747508
285345,0.59510857,0.44349268
285446,0.49239254,0.43455845
286347,0.1583746,0.4446558
286650,0.52240515,0.3093069
287248,0.29059464,0.23458476
289555,0.055428457,0.4031141
290136,0.4519965,0.342397
293748,0.50127995,0.3202561
295146,0.5985689,0.48404956
297655,0.29965812,0.33623037
298051,0.3989473,0.34865037
298455,0.5102807,0.20175563
299154,0.45701733,0.38026714
299760,0.44268978,0.32713684
300618,0.43820912,0.38431174
300719,0.664327,0.46938932
303119,0.40559345,0.35868052
303624,0.57354647,0.22333373
304020,0.45831433,0.29775265
304727,0.50669706,0.4028423
305830,0.34293675,0.3491959
307127,0.40253115,0.24486579
308129,0.54132015,0.42400798
308331,0.6789504,0.47182155
309636,0.532919,0.5590636
310621,0.5384433,0.34996164
311320,0.54840416,0.3869629
314225,0.49478775,0.18494773
316633,0.40885282,0.33053866
316835,0.387781,0.39268202
317332,0.25277627,0.35980254
318637,0.31206062,0.35737658
320826,0.39210045,0.21554236
321323,0.40166253,0.552286
322224,0.43426093,0.27490455
325129,0.46714777,0.21594313
329440,0.52222866,0.43887487
329844,0.3700637,0.07586541
330324,0.5216301,0.23992853
333330,0.5288152,0.46406022
334635,0.6269027,0.3704152
336841,0.43172085,0.4365132
339847,0.45406184,0.2552288
341834,0.6067756,0.45767593
342129,0.11332049,0.37959158
346137,0.48412713,0.28122225
346945,0.57854784,0.33067313
348545,0.35809964,0.29554075
349244,0.5566652,0.28188968
350330,0.5000317,0.27643982
352132,0.5769554,0.10167236
352738,0.49074683,0.49928236
353740,0.36580193,0.19100882
356948,0.53846973,0.33981463
358144,0.573173,0.52189296
360030,0.5021314,0.2993679
361234,0.64749867,0.45773697
361941,0.3865976,0.21614178
365343,0.5231819,0.39710054
366042,0.4109116,0.19350025
366446,0.74475294,0.5446337
368551,0.48951313,0.25329003
368753,0.52410966,0.29412845
371843,0.37901562,0.31519547
376247,0.6246831,0.3474836
377451,0.30526477,0.4534541
378756,0.21308039,0.24126895
378857,0.5905738,0.46918854
379657,0.4838507,0.23815307
380036,0.44657543,0.32671338
381038,0.5546969,0.27570352
381543,0.6454872,0.47610742
382242,0.49396986,0.52966696
385046,0.40062836,0.30665937
385450,0.5796267,0.3918492
386250,0.5100755,0.14071167
387959,0.31639415,0.3897828
389357,0.6394743,0.3989739
390645,0.56715244,0.061050884
391748,0.5652281,0.39270726
392447,0.42429298,0.10956722
392750,0.68247396,0.41866836
393247,0.51961946,0.16688496
393550,0.5064248,0.41709733
394956,0.6368815,0.40907228
395251,0.56109744,0.27853358
395756,0.6487863,0.4926545
395958,0.3805517,0.22524048
397154,0.3902645,0.46919802
397760,0.4527382,0.29429314
397861,0.48853636,0.34185728
401422,0.31088707,0.3304187
406432,0.33091605,0.32440412
406836,0.49802735,0.39671513
412528,0.5172324,0.33084098
413934,0.58219117,0.3514335
414229,0.70436966,0.3831968
415837,0.5557709,0.29022607
419239,0.53967863,0.37385023
421226,0.61900276,0.4253161
422632,0.36873162,0.3184595
424939,0.44927537,0.3567997
429040,0.5770829,0.6194248
432332,0.4813416,0.13568018
433839,0.4830839,0.27513358
436239,0.524431,0.4812432
436845,0.5198319,0.4048939
441939,0.39564925,0.3981999
445543,0.61487275,0.46340424
448347,0.33342236,0.31457692
449753,0.6451575,0.41013953
453441,0.52914774,0.3869862
453542,0.40617463,0.25887147
454140,0.44594994,0.30239737
456346,0.48475182,0.2947222
459453,0.55760634,0.5101795
461743,0.30684727,0.4074394
463040,0.51648223,0.453625
465852,0.60550284,0.4260681
467351,0.4985264,0.25692943
468050,0.56604075,0.40885726
469961,0.4949446,0.29585344
475855,0.48110983,0.27696475
479762,0.45976138,0.1838149
480141,0.5030331,0.5040945
481042,0.6212716,0.41344962
481951,0.2782475,0.57308465
485757,0.48873928,0.25555155
486759,0.43894655,0.29119664
495255,0.6242433,0.5025784
497865,0.51100904,0.26482657
499566,0.3640718,0.47059014
500222,0.48535687,0.5854836
506234,0.47405726,0.34507006
510225,0.52980196,0.57610464
510326,0.568897,0.59403586
512835,0.4745009,0.34062162
513130,0.6297922,0.51816
513736,0.5875754,0.41763207
516742,0.3317536,0.3145417
517239,0.32520163,0.2897657
518746,0.51971126,0.2998216
519647,0.4945718,0.35112113
519950,0.61671245,0.38310945
520228,0.49897966,0.48154104
522434,0.57479745,0.41017434
523032,0.3660436,0.20838669
524135,0.59183574,0.4068775
525541,0.65119463,0.43636882
529549,0.6728688,0.50107294
529953,0.5830423,0.3771292
530635,0.5417705,0.26638067
531536,0.6020855,0.4703042
531940,0.33699578,0.37241808
536647,0.472352,0.34727076
